"","FIPS","State","Life.Expectancy","Residential.Segregation.Index","Percent.Limited.Access.Healthy.Foods","Percent.Uninsured.Adults","School.Funding.Adequacy","Median.Household.Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"178",5121,"Arkansas",73.36154664,34.543182167,9.379769487,13.930395309,-7155.214,45638,"0",364,"South","West South Central"
"179",5123,"Arkansas",72.509917377,48.683003472,19.296337932,15.333139366,-17614.3475,38062,"0",366,"South","West South Central"
"180",5125,"Arkansas",75.937941555,42.55730551,7.6862535531,10.001923447,-696.806825,70330,"0",1097,"South","West South Central"
"181",5127,"Arkansas",71.470840204,NA,20.810097776,12.890341322,-3408.9455,42599,"0",376,"South","West South Central"
"182",5129,"Arkansas",73.630319799,NA,14.640397097,13.22160149,-2533.8967,38070,"0",411,"South","West South Central"
"183",5131,"Arkansas",74.201774106,54.466502035,5.4921140061,16.185810677,-3983.5284,52679,"0",798,"South","West South Central"
"184",5133,"Arkansas",73.27372182,34.647549091,13.395401558,24.211938296,-6559.0735,49384,"0",440,"South","West South Central"
"185",5135,"Arkansas",73.689087498,69.010007759,17.99477855,13.815858385,-2837.7725,45740,"0",419,"South","West South Central"
"186",5137,"Arkansas",74.753493152,NA,10.840695297,15.336391437,-4055.435,41063,"0",408,"South","West South Central"
"187",5139,"Arkansas",70.77122916,43.851071617,12.2015618,12.584781195,-5752.15714,50258,"0",554,"South","West South Central"
"188",5141,"Arkansas",74.96849993,NA,6.7285462684,14.552628525,-4012.655333,47150,"0",555,"South","West South Central"
"189",5143,"Arkansas",77.145340793,50.316018732,5.3029342646,15.032867466,-1781.488039,62100,"0",1190,"South","West South Central"
"190",5145,"Arkansas",73.751771229,51.509700316,9.1191117324,13.959779962,-3004.882938,56866,"0",604,"South","West South Central"
"191",5147,"Arkansas",73.036885602,17.666460524,3.227311218,11.952554745,-13768.8685,41225,"0",393,"South","West South Central"
"192",5149,"Arkansas",74.071574933,64.353585816,7.7791137584,17.22307824,-8289.78025,50275,"0",726,"South","West South Central"
"193",6001,"California",82.203733125,51.472073649,1.117399283,5.8081056722,136.58311765,121190,"1",5539,"West","Pacific"
"194",6003,"California",NA,NA,16.785138519,8.2728592163,NA,71646,NA,2877,"West","Pacific"
"195",6005,"California",78.816769487,58.872195644,0.0956320635,6.4967895242,37.75488,74356,"1",2179,"West","Pacific"
"196",6007,"California",76.553001245,68.409961231,6.4508673972,9.0020066147,-1987.262455,63353,"0",1835,"West","Pacific"
"197",6009,"California",78.620318565,85.024129919,5.9895027663,7.8350351623,266.622675,73175,"1",2408,"West","Pacific"
"198",6011,"California",79.507424274,38.781666414,12.356254156,14.053066412,-8466.005,72963,"0",1703,"West","Pacific"
"199",6013,"California",81.558972184,56.175090144,2.8674706151,6.0955066415,-289.9653647,119667,"0",4941,"West","Pacific"
"200",6015,"California",74.614696887,54.487248467,14.445116634,10.385080789,-1551.175,57297,"0",1493,"West","Pacific"
"201",6017,"California",81.127153894,64.825090908,4.258567239,5.5599449598,-477.5575308,104859,"0",3312,"West","Pacific"
"202",6019,"California",76.637940556,45.872341032,5.3493111124,9.879365101,-17310.74829,68693,"0",1948,"West","Pacific"
"203",6021,"California",76.244868451,NA,8.7453033087,14.667165762,-6490.545,63247,"0",1668,"West","Pacific"
