"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"117",5069,"Arkansas",70.951506481,62.370766912,10.606394868,10.773971791,11366.333333,-12898.72633,45894,"0",537,"South","West South Central"
"118",5071,"Arkansas",73.709083267,42.94111137,13.329277557,16.169491525,11180,-4812.571,46660,"0",543,"South","West South Central"
"119",5073,"Arkansas",73.394666294,26.10218933,11.357702636,15.344224037,14522,-16829.42,42437,"0",390,"South","West South Central"
"120",5075,"Arkansas",72.054232599,60.794426954,16.813665268,12.576086957,10679.333333,-4658.748333,47312,"0",384,"South","West South Central"
"121",5077,"Arkansas",69.286815889,55.005671584,20.286818357,10.723933009,11422,-37796.48,35213,"0",361,"South","West South Central"
"122",5079,"Arkansas",73.166111406,53.21339293,17.503821198,12.369086313,10676,-4226.271,48311,"0",409,"South","West South Central"
"123",5081,"Arkansas",72.104025989,42.320580658,0.9872797871,10.969274158,10209,-7641.9875,48883,"0",367,"South","West South Central"
"124",5083,"Arkansas",72.296942178,61.283857953,8.5999770086,11.307736018,10419.75,-2101.35175,48510,"0",511,"South","West South Central"
"125",5085,"Arkansas",74.607088655,50.284434257,5.2967568257,10.455449923,10919.25,-4586.6429,66160,"0",923,"South","West South Central"
"126",5087,"Arkansas",75.970248585,NA,10.986230917,15.100533443,10756,-1226.553,51233,"0",504,"South","West South Central"
"127",5089,"Arkansas",73.732218395,NA,3.2087565959,13.378076063,10029,-4328.8655,49313,"0",639,"South","West South Central"
"128",5091,"Arkansas",71.993726492,51.856795402,12.246415767,12.642448677,10575,-3050.439,48652,"0",703,"South","West South Central"
"129",5093,"Arkansas",68.28796648,56.699667603,8.9944278877,12.061129923,12171.833333,-11031.6181,45168,"0",473,"South","West South Central"
"130",5095,"Arkansas",69.271294095,20.325292572,14.983969818,13.0109384,13084.5,-27798.335,33090,"0",385,"South","West South Central"
"131",5097,"Arkansas",72.658069102,NA,10.536505923,16.352990381,11136.5,-6264.095,46069,"0",474,"South","West South Central"
"132",5099,"Arkansas",73.110096153,7.063488843,27.36228135,10.957375586,11484.5,-10278.114,44649,"0",352,"South","West South Central"
"133",5101,"Arkansas",74.345097328,NA,11.354713473,11.559208836,12211,-2252.7673,47996,"0",501,"South","West South Central"
"134",5103,"Arkansas",71.533394321,20.595325212,18.149147084,11.314193288,11338.333333,-7502.745,49275,"0",442,"South","West South Central"
"135",5105,"Arkansas",74.087682129,39.88117915,5.3058965635,11.332524692,10507.5,-5597.4725,56640,"0",550,"South","West South Central"
"136",5107,"Arkansas",67.665007222,39.638816644,18.935657668,11.029323036,12707,-28891.69333,36098,"0",372,"South","West South Central"
"137",5109,"Arkansas",73.612730158,49.441299995,9.3728349573,15.564404432,11388.666667,-4565.822,41348,"0",455,"South","West South Central"
"138",5111,"Arkansas",69.349754741,41.233654911,10.325657892,14.196867322,11646.5,-7703.30775,47372,"0",398,"South","West South Central"
"139",5113,"Arkansas",72.686940508,NA,16.946320931,17.197812559,10461,-3100.6605,45289,"0",447,"South","West South Central"
